respondent_id,BFI_E1,BFI_E2,BFI_E3,BFI_E4,BFI_E5,BFI_E6,BFI_E7,BFI_E8,BFI_E9,BFI_E10,BFI_A1,BFI_A2,BFI_A3,BFI_A4,BFI_A5,BFI_A6,BFI_A7,BFI_A8,BFI_A9,BFI_A10,BFI_C1,BFI_C2,BFI_C3,BFI_C4,BFI_C5,BFI_C6,BFI_C7,BFI_C8,BFI_C9,BFI_C10,BFI_N1,BFI_N2,BFI_N3,BFI_N4,BFI_N5,BFI_N6,BFI_N7,BFI_N8,BFI_N9,BFI_N10,BFI_O1,BFI_O2,BFI_O3,BFI_O4,BFI_O5,BFI_O6,BFI_O7,BFI_O8,BFI_O9,BFI_O10,age,gender
18,1.0,2.0,2.0,2.0,0.0,4.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,2.0,36,Man
19,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,0.0,3.0,1.0,2.0,2.0,4.0,3.0,2.0,3.0,0.0,4.0,0.0,2.0,1.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,41,Man
20,1.0,4.0,1.0,4.0,0.0,4.0,0.0,4.0,0.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,0.0,3.0,3.0,1.0,2.0,1.0,31,Kvinna
21,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0,41,Kvinna
22,2.0,,4.0,1.0,3.0,2.0,4.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,4.0,4.0,2.0,2.0,2.0,0.0,3.0,2.0,3.0,1.0,2.0,2.0,0.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,36,Man
23,2.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,0.0,3.0,3.0,2.0,3.0,3.0,1.0,4.0,2.0,4.0,1.0,2.0,0.0,3.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,,2.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,37,Kvinna
24,3.0,0.0,4.0,0.0,3.0,0.0,3.0,1.0,3.0,0.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,0.0,3.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,28,Man
25,2.0,3.0,0.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,4.0,3.0,3.0,3.0,51,Kvinna
26,2.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,,0.0,1.0,0.0,39,Kvinna
27,3.0,0.0,4.0,0.0,3.0,1.0,4.0,0.0,3.0,2.0,0.0,3.0,1.0,3.0,0.0,2.0,0.0,3.0,2.0,4.0,4.0,0.0,2.0,0.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,37,Kvinna
28,1.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,,4.0,0.0,2.0,0.0,4.0,1.0,4.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,4.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,48,Man
29,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,4.0,0.0,4.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,0.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,49,Kvinna
30,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,3.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,50,Kvinna
31,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,,3.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,0.0,3.0,1.0,4.0,2.0,4.0,4.0,2.0,3.0,29,Kvinna
32,0.0,3.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,2.0,2.0,0.0,4.0,0.0,2.0,1.0,0.0,2.0,0.0,3.0,2.0,3.0,0.0,3.0,1.0,3.0,,1.0,4.0,0.0,4.0,0.0,4.0,3.0,4.0,2.0,4.0,3.0,1.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,24,Kvinna
33,1.0,,2.0,4.0,0.0,2.0,0.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,0.0,4.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,18,Man
34,4.0,1.0,4.0,0.0,2.0,2.0,3.0,0.0,2.0,2.0,1.0,3.0,1.0,3.0,0.0,2.0,1.0,3.0,4.0,4.0,0.0,2.0,1.0,2.0,4.0,1.0,3.0,4.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,41,Kvinna
35,1.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,0.0,2.0,,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,0.0,51,Kvinna
36,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,0.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,45,Man
37,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,,2.0,3.0,2.0,3.0,2.0,45,Man
38,4.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,0.0,2.0,1.0,4.0,4.0,2.0,3.0,40,Kvinna
39,2.0,0.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,2.0,0.0,,1.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,35,Kvinna
40,0.0,4.0,2.0,4.0,0.0,3.0,1.0,2.0,0.0,4.0,3.0,1.0,3.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,0.0,3.0,46,Kvinna
41,0.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,0.0,3.0,4.0,1.0,,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,4.0,0.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,0.0,39,Kvinna
42,2.0,0.0,3.0,1.0,3.0,0.0,4.0,1.0,4.0,2.0,0.0,2.0,2.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,4.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,2.0,1.0,4.0,,2.0,1.0,1.0,34,Kvinna
43,3.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0,2.0,2.0,3.0,2.0,4.0,0.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,0.0,2.0,1.0,4.0,0.0,3.0,0.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,0.0,18,Kvinna
44,1.0,4.0,2.0,4.0,1.0,4.0,1.0,3.0,0.0,4.0,3.0,2.0,4.0,0.0,2.0,2.0,4.0,0.0,1.0,0.0,4.0,2.0,1.0,2.0,4.0,0.0,4.0,2.0,3.0,4.0,4.0,2.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,4.0,,4.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,54,Kvinna
45,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,0.0,3.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,0.0,3.0,0.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,1.0,4.0,1.0,2.0,1.0,3.0,4.0,4.0,2.0,31,Man
46,1.0,4.0,1.0,4.0,1.0,3.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,1.0,4.0,3.0,3.0,1.0,3.0,0.0,4.0,0.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,38,Kvinna
47,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,41,Kvinna
48,2.0,1.0,4.0,1.0,4.0,0.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,0.0,3.0,0.0,2.0,4.0,3.0,0.0,,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,3.0,74,Kvinna
49,3.0,2.0,4.0,1.0,4.0,0.0,4.0,0.0,4.0,0.0,2.0,4.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,31,Man
50,3.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,3.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,42,Kvinna
51,3.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,2.0,1.0,3.0,0.0,4.0,0.0,4.0,2.0,4.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,0.0,3.0,1.0,4.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,24,Man
52,1.0,4.0,2.0,4.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,51,Kvinna
53,2.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,3.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,35,Kvinna
54,1.0,3.0,2.0,4.0,1.0,4.0,1.0,4.0,2.0,3.0,2.0,1.0,4.0,0.0,3.0,2.0,4.0,0.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,3.0,2.0,40,Kvinna
55,0.0,3.0,1.0,4.0,0.0,4.0,2.0,3.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,0.0,0.0,3.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,0.0,41,Kvinna
56,3.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,4.0,4.0,53,Kvinna
57,4.0,0.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0,4.0,1.0,0.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,4.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,28,Kvinna
58,1.0,2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,2.0,4.0,3.0,4.0,39,Kvinna
59,4.0,1.0,4.0,2.0,4.0,2.0,4.0,0.0,3.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,2.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,58,Kvinna
60,1.0,3.0,2.0,2.0,0.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,4.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,4.0,0.0,4.0,1.0,3.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,36,Kvinna
61,1.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,3.0,2.0,2.0,1.0,3.0,0.0,2.0,0.0,4.0,2.0,4.0,4.0,2.0,3.0,1.0,3.0,2.0,3.0,0.0,4.0,1.0,1.0,1.0,1.0,47,Kvinna
62,2.0,3.0,0.0,4.0,0.0,3.0,0.0,4.0,0.0,3.0,2.0,2.0,3.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,,1.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,44,Man
63,3.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,,2.0,2.0,3.0,2.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,3.0,4.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,36,Kvinna
